simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,Beverton-Holt,K,10000,Beverton-Holt,17074.8,4588,192649.42,1.024,70.74799999999999,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.56,1.26,7036.15,17074.8
1,Beverton-Holt,Smsy,3658.6440898919936,Beverton-Holt,7036.15,1191.53,84601.78,1.046,92.3157822166767,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.56,1.26,7036.15,17074.8
1,Beverton-Holt,alpha,1.1,Beverton-Holt,0.56,0.05,2.88,1.073,-49.090909090909086,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.56,1.26,7036.15,17074.8
1,Beverton-Holt,sigma,1.1,Beverton-Holt,1.26,1,1.63,1.017,14.545454545454538,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.56,1.26,7036.15,17074.8
1,Ricker,K,10000,Beverton-Holt,5725.52,2292.71,16322.39,1.004,-42.74479999999999,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.19,1.24,1210.43,5725.52
1,Ricker,Smsy,4257.348911099839,Beverton-Holt,1210.43,47.9,7030.55,1.021,-71.56845667865875,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.19,1.24,1210.43,5725.52
1,Ricker,alpha,1.1,Beverton-Holt,2.19,0.12,9.38,1.022,99.09090909090907,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.19,1.24,1210.43,5725.52
1,Ricker,sigma,1.1,Beverton-Holt,1.24,0.97,1.69,1.032,12.727272727272716,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.19,1.24,1210.43,5725.52
1,Beverton-Holt,K,10000,Ricker,18755.35,4156.33,82789.29,1.003,87.55349999999999,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.49,1.26,8638.35,18755.35
1,Beverton-Holt,Smsy,3658.6440898919936,Ricker,8638.35,2053.04,38299.47,1.003,136.10796206894813,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.49,1.26,8638.35,18755.35
