simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,Beverton-Holt,K,10000,Beverton-Holt,10075.15,9360.49,10979.92,1.001,0.7514999999999964,1403.7267772674616,1.1,0.1,3658.6440898919936,10000,1.12,0.09,3660.88,10075.15
1,Beverton-Holt,Smsy,3658.6440898919936,Beverton-Holt,3660.88,3302.45,4104.62,1.001,0.06111308050388883,1403.7267772674616,1.1,0.1,3658.6440898919936,10000,1.12,0.09,3660.88,10075.15
1,Beverton-Holt,alpha,1.1,Beverton-Holt,1.12,1.01,1.24,1.001,1.8181818181818197,1403.7267772674616,1.1,0.1,3658.6440898919936,10000,1.12,0.09,3660.88,10075.15
1,Beverton-Holt,sigma,0.1,Beverton-Holt,0.09,0.08,0.12,1.001,-10.000000000000009,1403.7267772674616,1.1,0.1,3658.6440898919936,10000,1.12,0.09,3660.88,10075.15
1,Ricker,K,10000,Beverton-Holt,10898.95,10049.7,11957.8,1.001,8.989500000000007,1644.5010342180317,1.1,0.1,4257.348911099839,10000,1.36,0.13,3655.51,10898.95
1,Ricker,Smsy,4257.348911099839,Beverton-Holt,3655.51,3208.41,4200.89,1.001,-14.136471397275267,1644.5010342180317,1.1,0.1,4257.348911099839,10000,1.36,0.13,3655.51,10898.95
1,Ricker,alpha,1.1,Beverton-Holt,1.36,1.19,1.56,1.001,23.636363636363633,1644.5010342180317,1.1,0.1,4257.348911099839,10000,1.36,0.13,3655.51,10898.95
1,Ricker,sigma,0.1,Beverton-Holt,0.13,0.11,0.16,1,30,1644.5010342180317,1.1,0.1,4257.348911099839,10000,1.36,0.13,3655.51,10898.95
1,Beverton-Holt,K,10000,Ricker,9603.6,9021.64,10350.22,1,-3.9639999999999964,1403.7267772674616,1.1,0.1,3658.6440898919936,10000,0.92,0.1,4208.74,9603.6
1,Beverton-Holt,Smsy,3658.6440898919936,Ricker,4208.74,3928.05,4568.19,1.001,15.03551306419219,1403.7267772674616,1.1,0.1,3658.6440898919936,10000,0.92,0.1,4208.74,9603.6
1,Beverton-Holt,alpha,1.1,Ricker,0.92,0.86,0.99,1.001,-16.363636363636367,1403.7267772674616,1.1,0.1,3658.6440898919936,10000,0.92,0.1,4208.74,9603.6
1,Beverton-Holt,sigma,0.1,Ricker,0.1,0.08,0.12,1.001,0,1403.7267772674616,1.1,0.1,3658.6440898919936,10000,0.92,0.1,4208.74,9603.6
1,Ricker,K,10000,Ricker,9827.04,9329.12,10422.61,1.002,-1.7295999999999914,1644.5010342180317,1.1,0.1,4257.348911099839,10000,1.14,0.11,4155.48,9827.04
1,Ricker,Smsy,4257.348911099839,Ricker,4155.48,3909.86,4451.47,1.002,-2.392778069804071,1644.5010342180317,1.1,0.1,4257.348911099839,10000,1.14,0.11,4155.48,9827.04
1,Ricker,alpha,1.1,Ricker,1.14,1.05,1.22,1.003,3.636363636363619,1644.5010342180317,1.1,0.1,4257.348911099839,10000,1.14,0.11,4155.48,9827.04
1,Ricker,sigma,0.1,Ricker,0.11,0.09,0.14,1.001,9.999999999999995,1644.5010342180317,1.1,0.1,4257.348911099839,10000,1.14,0.11,4155.48,9827.04
2,Beverton-Holt,K,10000,Beverton-Holt,10434.9,9624.05,11430.43,1.001,4.348999999999997,857.2697616150411,1.1,0.1,3658.6440898919936,10000,1.1,0.09,3815.96,10434.9
2,Beverton-Holt,Smsy,3658.6440898919936,Beverton-Holt,3815.96,3427.69,4301.48,1.002,4.299841860612643,857.2697616150411,1.1,0.1,3658.6440898919936,10000,1.1,0.09,3815.96,10434.9
2,Beverton-Holt,alpha,1.1,Beverton-Holt,1.1,0.99,1.22,1.002,0,857.2697616150411,1.1,0.1,3658.6440898919936,10000,1.1,0.09,3815.96,10434.9
2,Beverton-Holt,sigma,0.1,Beverton-Holt,0.09,0.08,0.12,1,-10.000000000000009,857.2697616150411,1.1,0.1,3658.6440898919936,10000,1.1,0.09,3815.96,10434.9
2,Ricker,K,10000,Beverton-Holt,11075.75,10093.48,12253.24,1.001,10.7575,1105.5718120959066,1.1,0.1,4257.348911099839,10000,1.39,0.1,3680.02,11075.75
