simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,Beverton-Holt,K,10000,Beverton-Holt,16931.9,5103.57,175077.65,1.011,69.31900000000002,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.61,1.26,6909.41,16931.9
1,Beverton-Holt,Smsy,3658.6440898919936,Beverton-Holt,6909.41,1706.02,78157.19,1.024,88.85165734183157,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.61,1.26,6909.41,16931.9
1,Beverton-Holt,alpha,1.1,Beverton-Holt,0.61,0.07,2.41,1.044,-44.54545454545455,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.61,1.26,6909.41,16931.9
1,Beverton-Holt,sigma,1.1,Beverton-Holt,1.26,1.01,1.58,1.008,14.545454545454538,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.61,1.26,6909.41,16931.9
1,Ricker,K,10000,Beverton-Holt,5761.66,2469.66,17927.09,1.003,-42.3834,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.6,1.23,1087.22,5761.66
1,Ricker,Smsy,4257.348911099839,Beverton-Holt,1087.22,43.88,7836.96,1.004,-74.46251123168739,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.6,1.23,1087.22,5761.66
1,Ricker,alpha,1.1,Beverton-Holt,2.6,0.11,9.52,1.003,136.36363636363635,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.6,1.23,1087.22,5761.66
1,Ricker,sigma,1.1,Beverton-Holt,1.23,0.94,1.68,1.005,11.818181818181808,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.6,1.23,1087.22,5761.66
1,Beverton-Holt,K,10000,Ricker,18363.2,3898.36,83341.92,1.006,83.632,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.49,1.26,8479.51,18363.2
1,Beverton-Holt,Smsy,3658.6440898919936,Ricker,8479.51,1926.98,38812.95,1.006,131.76646297536755,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.49,1.26,8479.51,18363.2
1,Beverton-Holt,alpha,1.1,Ricker,0.49,0.07,1.01,1.003,-55.45454545454545,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.49,1.26,8479.51,18363.2
1,Beverton-Holt,sigma,1.1,Ricker,1.26,1.02,1.63,1.002,14.545454545454538,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.49,1.26,8479.51,18363.2
1,Ricker,K,10000,Ricker,7109.74,1431.91,18449.35,1.003,-28.9026,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.57,1.26,3223.24,7109.74
1,Ricker,Smsy,4257.348911099839,Ricker,3223.24,705.48,8453.52,1.003,-24.289973236717604,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.57,1.26,3223.24,7109.74
1,Ricker,alpha,1.1,Ricker,0.57,0.07,1.29,1.004,-48.181818181818194,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.57,1.26,3223.24,7109.74
1,Ricker,sigma,1.1,Ricker,1.26,0.98,1.74,1.003,14.545454545454538,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.57,1.26,3223.24,7109.74
