simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
4,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.62,2.77,9.86,1,204.05672696883235,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.62,0.74,317.65,9096.34
4,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.74,0.6,0.95,1.001,4.1171978265584235,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.62,0.74,317.65,9096.34
4,Beverton-Holt,K,9706,Ricker,11851.86,8998.04,16421.15,1.001,22.108592623119726,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.25,0.91,4886.21,11851.86
4,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4886.21,3801.01,6976.51,1.002,99.8659537608517,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.25,0.91,4886.21,11851.86
4,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.25,0.81,1.69,1.003,-42.58747602552259,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.25,0.91,4886.21,11851.86
4,Beverton-Holt,sigma,0.71073752986775,Ricker,0.91,0.74,1.17,1,28.036013543470503,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.25,0.91,4886.21,11851.86
5,Beverton-Holt,K,9706,Beverton-Holt,9068.37,7102.41,11867.05,1.002,-6.569441582526264,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.55,0.75,327.48,9068.37
5,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,327.48,63.52,1986.19,1.003,-86.60472993637119,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.55,0.75,327.48,9068.37
5,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.55,2.74,9.83,1.001,200.84162562626162,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.55,0.75,327.48,9068.37
5,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.6,0.97,1.001,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.55,0.75,327.48,9068.37
5,Beverton-Holt,K,9706,Ricker,11790.78,8857.04,16545.72,1.001,21.479291160107156,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.25,0.92,4856.3,11790.78
5,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4856.3,3734.13,7018.07,1.002,98.64251255038653,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.25,0.92,4856.3,11790.78
5,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.25,0.81,1.69,1.003,-42.58747602552259,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.25,0.92,4856.3,11790.78
5,Beverton-Holt,sigma,0.71073752986775,Ricker,0.92,0.74,1.19,1,29.443002703288858,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.25,0.92,4856.3,11790.78
6,Beverton-Holt,K,9706,Beverton-Holt,9065.18,7140.48,11549.02,1.001,-6.602307850813927,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,314.74,9065.18
6,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,314.74,65.42,1911.1,1.003,-87.12584799124672,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,314.74,9065.18
6,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.64,2.78,9.82,1.002,204.975327352424,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,314.74,9065.18
6,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.6,0.95,1,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.64,0.75,314.74,9065.18
6,Beverton-Holt,K,9706,Ricker,11813.78,8925.16,16624.14,1,21.716257984751707,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4885.39,11813.78
6,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4885.39,3794.22,7012.01,1,99.83241241038091,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4885.39,11813.78
6,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.24,0.82,1.67,1,-43.04677621731841,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4885.39,11813.78
6,Beverton-Holt,sigma,0.71073752986775,Ricker,0.91,0.74,1.16,1.001,28.036013543470503,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4885.39,11813.78
7,Beverton-Holt,K,9706,Beverton-Holt,9065.57,7161.01,11520.03,1,-6.5982897177003945,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.68,0.75,308.06,9065.57
7,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,308.06,65.21,1796.28,1,-87.39908728532585,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.68,0.75,308.06,9065.57
