simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,Beverton-Holt,K,10000,Beverton-Holt,10051.4,9684.68,10459.2,1.002,0.5139999999999963,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.65,0.11,348.39,10051.4
1,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,348.39,73.63,1449.17,1.002,-51.89743113158028,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.65,0.11,348.39,10051.4
1,Beverton-Holt,alpha,5.1,Beverton-Holt,6.65,3.61,9.81,1.003,30.39215686274511,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.65,0.11,348.39,10051.4
1,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.14,1.001,9.999999999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.65,0.11,348.39,10051.4
1,Ricker,K,10000,Beverton-Holt,15484.7,974.44,222287.35,1.006,54.84700000000001,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.89,16.15,1104.65,15484.7
1,Ricker,Smsy,1928.814402774944,Beverton-Holt,1104.65,38.09,33222.48,1.005,-42.729067223328286,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.89,16.15,1104.65,15484.7
1,Ricker,alpha,5.1,Beverton-Holt,4.89,0.15,9.64,1.005,-4.117647058823529,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.89,16.15,1104.65,15484.7
1,Ricker,sigma,0.1,Beverton-Holt,16.15,12.28,22.12,1.008,16049.999999999996,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.89,16.15,1104.65,15484.7
1,Beverton-Holt,K,10000,Ricker,9623.06,9179.99,10176,1.001,-3.769400000000005,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3700.54,9623.06
1,Beverton-Holt,Smsy,724.2648536151773,Ricker,3700.54,3459.93,3992.71,1.001,410.9373983189584,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3700.54,9623.06
1,Beverton-Holt,alpha,5.1,Ricker,1.67,1.5,1.83,1.002,-67.25490196078432,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3700.54,9623.06
1,Beverton-Holt,sigma,0.1,Ricker,0.19,0.15,0.24,1.001,90,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3700.54,9623.06
1,Ricker,K,10000,Ricker,9945.5,9841.63,10050.2,1,-0.545,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.58,9945.5
1,Ricker,Smsy,1928.814402774944,Ricker,1926.58,1921.39,1931.75,1,-0.11584332695408711,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.58,9945.5
1,Ricker,alpha,5.1,Ricker,5.08,5.01,5.14,1.001,-0.3921568627450897,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.58,9945.5
1,Ricker,sigma,0.1,Ricker,0.12,0.09,0.16,1.001,19.99999999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.58,9945.5
2,Beverton-Holt,K,10000,Beverton-Holt,10043.45,9672.34,10434.4,1.002,0.43450000000000727,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.69,0.11,341.75,10043.45
2,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,341.75,74.2,1342.47,1.001,-52.8142228227491,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.69,0.11,341.75,10043.45
2,Beverton-Holt,alpha,5.1,Beverton-Holt,6.69,3.78,9.79,1.002,31.17647058823531,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.69,0.11,341.75,10043.45
2,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.14,1.001,9.999999999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.69,0.11,341.75,10043.45
2,Ricker,K,10000,Beverton-Holt,15816.55,1165.99,190810.72,1.008,58.16549999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.98,16.08,1151.91,15816.55
2,Ricker,Smsy,1928.814402774944,Beverton-Holt,1151.91,40.34,30287.86,1.006,-40.278857398473804,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.98,16.08,1151.91,15816.55
2,Ricker,alpha,5.1,Beverton-Holt,4.98,0.27,9.7,1.004,-2.352941176470573,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.98,16.08,1151.91,15816.55
2,Ricker,sigma,0.1,Beverton-Holt,16.08,12.31,22.18,1.008,15979.999999999996,17.884133894980142,5.1,0.1,1928.814402774944,10000,4.98,16.08,1151.91,15816.55
2,Beverton-Holt,K,10000,Ricker,9630.83,9180.27,10195.53,1,-3.691700000000001,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.66,0.19,3705.73,9630.83
2,Beverton-Holt,Smsy,724.2648536151773,Ricker,3705.73,3468.45,3997.6,1.001,411.6539870052786,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.66,0.19,3705.73,9630.83
2,Beverton-Holt,alpha,5.1,Ricker,1.66,1.5,1.83,1.001,-67.45098039215685,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.66,0.19,3705.73,9630.83
2,Beverton-Holt,sigma,0.1,Ricker,0.19,0.15,0.24,1.001,90,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.66,0.19,3705.73,9630.83
2,Ricker,K,10000,Ricker,9946.12,9843.24,10046.7,1.001,-0.538799999999992,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.52,9946.12
2,Ricker,Smsy,1928.814402774944,Ricker,1926.52,1921.38,1931.76,1,-0.11895404615618477,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.52,9946.12
2,Ricker,alpha,5.1,Ricker,5.08,5.02,5.14,1.001,-0.3921568627450897,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.52,9946.12
2,Ricker,sigma,0.1,Ricker,0.12,0.09,0.16,1,19.99999999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.52,9946.12
3,Beverton-Holt,K,10000,Beverton-Holt,10042.2,9675.61,10413.51,1.001,0.42200000000000726,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.78,0.11,326.6,10042.2
3,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,326.6,73.63,1344.72,1.001,-54.90599904582255,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.78,0.11,326.6,10042.2
3,Beverton-Holt,alpha,5.1,Beverton-Holt,6.78,3.76,9.81,1.001,32.941176470588246,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.78,0.11,326.6,10042.2
3,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.15,1.001,9.999999999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.78,0.11,326.6,10042.2
3,Ricker,K,10000,Beverton-Holt,14879.35,1357.99,168048.27,1.008,48.79350000000001,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.04,15.89,1094.79,14879.35
3,Ricker,Smsy,1928.814402774944,Beverton-Holt,1094.79,40.33,26420.28,1.006,-43.24026207887348,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.04,15.89,1094.79,14879.35
3,Ricker,alpha,5.1,Beverton-Holt,5.04,0.29,9.78,1.014,-1.1764705882352866,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.04,15.89,1094.79,14879.35
3,Ricker,sigma,0.1,Beverton-Holt,15.89,11.51,21.96,1.009,15790,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.04,15.89,1094.79,14879.35
3,Beverton-Holt,K,10000,Ricker,9619.72,9157.2,10165.03,1,-3.8028000000000066,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3699.23,9619.72
3,Beverton-Holt,Smsy,724.2648536151773,Ricker,3699.23,3451.35,3989.11,1.001,410.7565252594055,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3699.23,9619.72
3,Beverton-Holt,alpha,5.1,Ricker,1.67,1.5,1.84,1.001,-67.25490196078432,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3699.23,9619.72
3,Beverton-Holt,sigma,0.1,Ricker,0.19,0.15,0.24,1.001,90,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3699.23,9619.72
3,Ricker,K,10000,Ricker,9946.77,9845.24,10049.71,1,-0.5322999999999957,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.48,9946.77
3,Ricker,Smsy,1928.814402774944,Ricker,1926.48,1921.39,1931.75,1,-0.12102785895758321,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.48,9946.77
3,Ricker,alpha,5.1,Ricker,5.08,5.02,5.14,1,-0.3921568627450897,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.48,9946.77
3,Ricker,sigma,0.1,Ricker,0.12,0.09,0.17,1.001,19.99999999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.48,9946.77
4,Beverton-Holt,K,10000,Beverton-Holt,10047,9675.74,10447.11,1.003,0.47,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.71,0.11,338.24,10047
4,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,338.24,72.66,1396.72,1.006,-53.29885216552057,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.71,0.11,338.24,10047
4,Beverton-Holt,alpha,5.1,Beverton-Holt,6.71,3.69,9.83,1.004,31.5686274509804,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.71,0.11,338.24,10047
4,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.14,1.001,9.999999999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.71,0.11,338.24,10047
4,Ricker,K,10000,Beverton-Holt,14483.65,1190.99,177983.55,1.008,44.836499999999994,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.2,16.02,955.83,14483.65
4,Ricker,Smsy,1928.814402774944,Beverton-Holt,955.83,42.47,25848.97,1.008,-50.4446877509382,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.2,16.02,955.83,14483.65
4,Ricker,alpha,5.1,Beverton-Holt,5.2,0.24,9.72,1.007,1.9607843137255008,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.2,16.02,955.83,14483.65
4,Ricker,sigma,0.1,Beverton-Holt,16.02,12.21,22.37,1.007,15920,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.2,16.02,955.83,14483.65
4,Beverton-Holt,K,10000,Ricker,9621.53,9176.44,10192.92,1.001,-3.7846999999999933,1566.7326309837813,5.1,0.1,724.2648536151773,10000,1.67,0.19,3702,9621.53
