clones,parameter,fitting_model,estimate_median,estimate_lower,estimate_upper,estimate_variance,Rhat,error,true_value,generating_model,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
2,alpha,Ricker,0.5,0.13,0.91,0.0404,1.004,-54.54545454545455,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.5,1.2,3175.14,6843.79
2,sigma,Ricker,1.2,1.04,1.42,0.0094,1.001,9.090909090909078,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.5,1.2,3175.14,6843.79
3,K,Beverton-Holt,12670.05,8574.95,30033.15,45899992.9524,1.004,26.700499999999995,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.9,1.2,4869.31,12670.05
3,Smsy,Beverton-Holt,4869.31,2637.63,13329.48,10444818.4662,1.011,33.090562524318855,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.9,1.2,4869.31,12670.05
3,alpha,Beverton-Holt,0.9,0.32,2,0.1671,1.014,-18.181818181818187,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.9,1.2,4869.31,12670.05
3,sigma,Beverton-Holt,1.2,1.08,1.35,0.0045,1.002,9.090909090909078,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.9,1.2,4869.31,12670.05
3,K,Beverton-Holt,5440.3,4061.58,7828.22,940134.2544,1.002,-45.597,10000,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.08,1.17,1393.22,5440.3
3,Smsy,Beverton-Holt,1393.22,47.3,3064.15,811477.366,1.004,-67.27493966098076,4257.348911099839,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.08,1.17,1393.22,5440.3
3,alpha,Beverton-Holt,2.08,0.47,9.4,6.9408,1.003,89.09090909090908,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.08,1.17,1393.22,5440.3
3,sigma,Beverton-Holt,1.17,1.03,1.35,0.0065,1.002,6.363636363636348,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,2.08,1.17,1393.22,5440.3
3,K,Ricker,19197.45,11180.21,52935.79,269009040.6806,1.004,91.9745,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.23,8964.67,19197.45
3,Smsy,Ricker,8964.67,5319.2,25122.22,61897669.0521,1.004,145.027113316853,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.23,8964.67,19197.45
3,alpha,Ricker,0.46,0.2,0.75,0.0197,1.006,-58.18181818181819,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.23,8964.67,19197.45
3,sigma,Ricker,1.23,1.11,1.38,0.0049,1.004,11.818181818181808,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.23,8964.67,19197.45
3,K,Ricker,6862.74,3203.6,10780.68,3509104.8428,1.001,-31.3726,10000,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.49,1.2,3188.71,6862.74
3,Smsy,Ricker,3188.71,1568.38,4977.84,712480.9598,1.001,-25.101041362000274,4257.348911099839,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.49,1.2,3188.71,6862.74
3,alpha,Ricker,0.49,0.15,0.85,0.0326,1.002,-55.45454545454545,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.49,1.2,3188.71,6862.74
3,sigma,Ricker,1.2,1.05,1.37,0.0068,1.001,9.090909090909078,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.49,1.2,3188.71,6862.74
4,K,Beverton-Holt,12372.4,8757.61,23682.1,24045176.2711,1.002,23.723999999999997,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.93,1.2,4733.77,12372.4
4,Smsy,Beverton-Holt,4733.77,2845.62,10242.32,5644515.0993,1.004,29.38591138390139,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.93,1.2,4733.77,12372.4
4,alpha,Beverton-Holt,0.93,0.4,1.76,0.1167,1.004,-15.454545454545457,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.93,1.2,4733.77,12372.4
4,sigma,Beverton-Holt,1.2,1.09,1.33,0.004,1.001,9.090909090909078,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.93,1.2,4733.77,12372.4
4,K,Beverton-Holt,5454.52,4205.76,7563.55,796048.4783,1.001,-45.45479999999999,10000,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.88,1.17,1512.43,5454.52
4,Smsy,Beverton-Holt,1512.43,47.16,2920.95,746231.4216,1.002,-64.47484029188294,4257.348911099839,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.88,1.17,1512.43,5454.52
4,alpha,Beverton-Holt,1.88,0.53,9.39,6.3924,1.002,70.90909090909089,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.88,1.17,1512.43,5454.52
4,sigma,Beverton-Holt,1.17,1.04,1.33,0.0051,1.001,6.363636363636348,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,1.88,1.17,1512.43,5454.52
4,K,Ricker,19060.25,11835.01,44315.06,88625166.4954,1.001,90.6025,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.23,8914.31,19060.25
4,Smsy,Ricker,8914.31,5629.51,21103.11,20290545.1749,1.001,143.65064709705496,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.23,8914.31,19060.25
4,alpha,Ricker,0.46,0.23,0.73,0.0166,1.002,-58.18181818181819,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.23,8914.31,19060.25
