simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
1,Beverton-Holt,K,10000,Beverton-Holt,11324.15,8492.11,15348.2,1,13.241499999999997,994.2894895775023,5.1,1.1,724.2648536151773,10000,6.43,1.04,436.62,11324.15
1,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,436.62,81.6,2685.6,1,-39.715423464136684,994.2894895775023,5.1,1.1,724.2648536151773,10000,6.43,1.04,436.62,11324.15
1,Beverton-Holt,alpha,5.1,Beverton-Holt,6.43,2.55,9.79,1,26.078431372549023,994.2894895775023,5.1,1.1,724.2648536151773,10000,6.43,1.04,436.62,11324.15
1,Beverton-Holt,sigma,1.1,Beverton-Holt,1.04,0.86,1.29,1.001,-5.454545454545459,994.2894895775023,5.1,1.1,724.2648536151773,10000,6.43,1.04,436.62,11324.15
1,Ricker,K,10000,Beverton-Holt,19214.75,1210.59,214432.52,1.006,92.1475,24.828960910604394,5.1,1.1,1928.814402774944,10000,5.04,20.15,1329.3,19214.75
1,Ricker,Smsy,1928.814402774944,Beverton-Holt,1329.3,40.67,35162.5,1.007,-31.082016077463727,24.828960910604394,5.1,1.1,1928.814402774944,10000,5.04,20.15,1329.3,19214.75
1,Ricker,alpha,5.1,Beverton-Holt,5.04,0.29,9.71,1.004,-1.1764705882352866,24.828960910604394,5.1,1.1,1928.814402774944,10000,5.04,20.15,1329.3,19214.75
1,Ricker,sigma,1.1,Beverton-Holt,20.15,16.19,25.48,1.01,1731.8181818181815,24.828960910604394,5.1,1.1,1928.814402774944,10000,5.04,20.15,1329.3,19214.75
1,Beverton-Holt,K,10000,Ricker,15402.95,11683.47,19900.11,1,54.02950000000001,994.2894895775023,5.1,1.1,724.2648536151773,10000,1.35,1.16,6217.89,15402.95
1,Beverton-Holt,Smsy,724.2648536151773,Ricker,6217.89,4966.31,8044.04,1,758.5105253918261,994.2894895775023,5.1,1.1,724.2648536151773,10000,1.35,1.16,6217.89,15402.95
1,Beverton-Holt,alpha,5.1,Ricker,1.35,0.86,1.86,1.001,-73.52941176470587,994.2894895775023,5.1,1.1,724.2648536151773,10000,1.35,1.16,6217.89,15402.95
1,Beverton-Holt,sigma,1.1,Ricker,1.16,0.96,1.45,1,5.454545454545439,994.2894895775023,5.1,1.1,724.2648536151773,10000,1.35,1.16,6217.89,15402.95
1,Ricker,K,10000,Ricker,10069.15,9254.02,10879.1,1.001,0.6914999999999963,24.828960910604394,5.1,1.1,1928.814402774944,10000,5.13,1.26,1930.7,10069.15
1,Ricker,Smsy,1928.814402774944,Ricker,1930.7,1898.38,1964.18,1.001,0.09775939159015241,24.828960910604394,5.1,1.1,1928.814402774944,10000,5.13,1.26,1930.7,10069.15
1,Ricker,alpha,5.1,Ricker,5.13,4.67,5.6,1.001,0.588235294117652,24.828960910604394,5.1,1.1,1928.814402774944,10000,5.13,1.26,1930.7,10069.15
