simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
2,Beverton-Holt,alpha,2.8842531582526085,Beverton-Holt,5.18,1.26,9.72,1.001,79.59588551298468,2.8842531582526085,0.9522698275214737,1682.3205815674628,8798,5.18,0.94,624.3,8943.97
2,Beverton-Holt,sigma,0.9522698275214737,Beverton-Holt,0.94,0.73,1.3,1.002,-1.2884822312819817,2.8842531582526085,0.9522698275214737,1682.3205815674628,8798,5.18,0.94,624.3,8943.97
2,Beverton-Holt,K,8798,Ricker,10900.48,7115.45,16825.01,NA,23.897249374857914,2.8842531582526085,0.9522698275214737,1682.3205815674628,8798,1.19,1,4498.91,10900.48
2,Beverton-Holt,Smsy,1682.3205815674628,Ricker,4498.91,3185.48,7244.33,1.002,167.42287108015083,2.8842531582526085,0.9522698275214737,1682.3205815674628,8798,1.19,1,4498.91,10900.48
2,Beverton-Holt,alpha,2.8842531582526085,Ricker,1.19,0.53,1.84,1.001,-58.74148576053055,2.8842531582526085,0.9522698275214737,1682.3205815674628,8798,1.19,1,4498.91,10900.48
2,Beverton-Holt,sigma,0.9522698275214737,Ricker,1,0.77,1.37,1.001,5.012252945444706,2.8842531582526085,0.9522698275214737,1682.3205815674628,8798,1.19,1,4498.91,10900.48
3,Ricker,K,8157,Beverton-Holt,44967.82,3066.78,602977.31,1.012,451.27890155694496,2.194042596912078,1.7859915055029725,2830.4967142616733,8157,3.11,12.1,6040.15,44967.82
3,Ricker,Smsy,2830.4967142616733,Beverton-Holt,6040.15,122.29,146554.38,1.016,113.39540758221848,2.194042596912078,1.7859915055029725,2830.4967142616733,8157,3.11,12.1,6040.15,44967.82
3,Ricker,alpha,2.194042596912078,Beverton-Holt,3.11,0.1,9.78,1.021,41.747475841036604,2.194042596912078,1.7859915055029725,2830.4967142616733,8157,3.11,12.1,6040.15,44967.82
3,Ricker,sigma,1.7859915055029725,Beverton-Holt,12.1,9.31,16.63,1.026,577.4948236157701,2.194042596912078,1.7859915055029725,2830.4967142616733,8157,3.11,12.1,6040.15,44967.82
3,Ricker,K,8157,Ricker,8365.71,5371.55,11346.99,NA,2.5586612725266535,2.194042596912078,1.7859915055029725,2830.4967142616733,8157,2.38,2.23,2786.2,8365.71
3,Ricker,Smsy,2830.4967142616733,Ricker,2786.2,2128.12,3154.44,1,-1.5649802396336001,2.194042596912078,1.7859915055029725,2830.4967142616733,8157,2.38,2.23,2786.2,8365.71
3,Ricker,alpha,2.194042596912078,Ricker,2.38,1.48,3.32,1,8.475560289925117,2.194042596912078,1.7859915055029725,2830.4967142616733,8157,2.38,2.23,2786.2,8365.71
3,Ricker,sigma,1.7859915055029725,Ricker,2.23,1.74,2.97,1.001,24.86061625315432,2.194042596912078,1.7859915055029725,2830.4967142616733,8157,2.38,2.23,2786.2,8365.71
4,Ricker,K,8725,Beverton-Holt,6253.84,2884.9,16765.82,1.014,-28.32275071633238,1.3829468947502488,1.3880508326937513,3536.8239721258274,8725,4.24,2.06,630.32,6253.84
4,Ricker,Smsy,3536.8239721258274,Beverton-Holt,630.32,43.44,4704.05,1.015,-82.17836101067978,1.3829468947502488,1.3880508326937513,3536.8239721258274,8725,4.24,2.06,630.32,6253.84
4,Ricker,alpha,1.3829468947502488,Beverton-Holt,4.24,0.63,9.62,1.003,206.59167145862943,1.3829468947502488,1.3880508326937513,3536.8239721258274,8725,4.24,2.06,630.32,6253.84
4,Ricker,sigma,1.3880508326937513,Beverton-Holt,2.06,1.62,2.7,1.002,48.40955039104843,1.3829468947502488,1.3880508326937513,3536.8239721258274,8725,4.24,2.06,630.32,6253.84
4,Ricker,K,8725,Ricker,9362.56,6875.35,11987.77,NA,7.307277936962745,1.3829468947502488,1.3880508326937513,3536.8239721258274,8725,1.5,1.13,3710.09,9362.56
4,Ricker,Smsy,3536.8239721258274,Ricker,3710.09,2921.04,4494.31,1,4.898915785453419,1.3829468947502488,1.3880508326937513,3536.8239721258274,8725,1.5,1.13,3710.09,9362.56
4,Ricker,alpha,1.3829468947502488,Ricker,1.5,1.02,1.98,1.001,8.464034714137759,1.3829468947502488,1.3880508326937513,3536.8239721258274,8725,1.5,1.13,3710.09,9362.56
4,Ricker,sigma,1.3880508326937513,Ricker,1.13,0.89,1.49,1.002,-18.590877698114223,1.3829468947502488,1.3880508326937513,3536.8239721258274,8725,1.5,1.13,3710.09,9362.56
5,Beverton-Holt,K,8808,Beverton-Holt,7083.93,1305.97,16567.08,1.005,-19.573910081743865,0.8372675029660324,1.2700714421133343,3495.399552560644,8808,1.23,1.19,1806.31,7083.93
5,Beverton-Holt,Smsy,3495.399552560644,Beverton-Holt,1806.31,55.86,7113.43,1.009,-48.323218194705625,0.8372675029660324,1.2700714421133343,3495.399552560644,8808,1.23,1.19,1806.31,7083.93
5,Beverton-Holt,alpha,0.8372675029660324,Beverton-Holt,1.23,0.05,9.6,1.024,46.906454107284354,0.8372675029660324,1.2700714421133343,3495.399552560644,8808,1.23,1.19,1806.31,7083.93
5,Beverton-Holt,sigma,1.2700714421133343,Beverton-Holt,1.19,0.94,1.62,1.012,-6.304483311592267,0.8372675029660324,1.2700714421133343,3495.399552560644,8808,1.23,1.19,1806.31,7083.93
5,Beverton-Holt,K,8808,Ricker,7769.81,500.59,25325.3,NA,-11.786898274296089,0.8372675029660324,1.2700714421133343,3495.399552560644,8808,0.28,1.2,3708.51,7769.81
5,Beverton-Holt,Smsy,3495.399552560644,Ricker,3708.51,249.38,11995.2,1.014,6.096883753482102,0.8372675029660324,1.2700714421133343,3495.399552560644,8808,0.28,1.2,3708.51,7769.81
5,Beverton-Holt,alpha,0.8372675029660324,Ricker,0.28,0.01,0.93,1.004,-66.55788036582145,0.8372675029660324,1.2700714421133343,3495.399552560644,8808,0.28,1.2,3708.51,7769.81
